Nationality,"Total OFAC Designations, by Nationality"
Afghanistan,76
Albania,3
Algeria,67
Angola,3
Australia,5
Austria,1
Bahrain,5
Bangladesh,3
Belgium,2
Bosnia,8
Bosnia and Herzegovina,3
Brazil,3
Canada,6
Chechnya,3
Chile,1
China,6
Colombia,3
Comoros,2
Congo,1
Denmark,2
Egypt,60
Eritrea,1
Ethiopia,2
France,12
Gambia,3
Gaza,5
Georgia,2
Germany,19
Greece,7
India,6
Indonesia,51
Iran,60
Iraq,43
Israel,3
Italy,2
Japan,1
Jordan,19
Kazakhstan,3
Kenya,3
Kosovo,3
Kuwait,29
Kyrgyzstan,5
Lebanon,106
Libya,34
Malaysia,10
Mali,69
Mauritania,8
Morocco,21
Netherlands,3
Niger,16
Nigeria,13
Norway,1
Pakistan,129
Palestine,43
Paraguay,7
Peru,1
Philippines,34
Qatar,12
Russia,32
Saudi Arabia,59
Senegal,3
Sierra Leone,4
Somalia,52
South Africa,4
South Asia,2
Spain,40
Sri Lanka,2
Sudan,16
Switzerland,1
Syria,30
Tajikistan,1
Tanzania,4
Tunisia,88
Turkey,10
Uganda,1
Ukraine,2
United Arab Emirates,17
United Kingdom,33
United States,11
Uzbekistan,10
Venezuela,2
Yemen,31
